Temperatura (°C),Humedad (%),Radiación Solar (%)
22.05,69,100
23.22,64,95
25.68,46,100
23.91,56,95
23.53,56,68
23.84,51,44
22.4,63,82
22.3,65,77
23.34,63,48
24.17,60,40
24.58,57,39
24.97,52,20
24.24,48,0
24.19,47,11
23.71,55,62
22.63,64,62
22.94,61,76
23.89,59,87
25.4,53,98
24.17,59,99
23.46,58,100
22.93,57,100
22.84,52,100
22.28,54,100
23.8,45,96
24.39,51,68
24.15,53,2
22.83,63,1
22.19,67,1
21.93,69,3
22.43,65,2
21.67,74,1
21.37,77,4
23.4,62,2
22.49,70,0
22.26,74,0
21.75,77,0
21.08,80,1
21.44,68,9
20.81,75,22
